frame,t_mono,time_boot_ms,t_unix_usec,lat,lng,alt_msl,alt_agl,yaw,pitch,roll,nsats,fix_type,lat_gpi_ms,lat_att_ms,det_idx,cx,cy,w,h,bearing_px,bearing_py,conf
145,935.5198,945298.1,1785688411245798,-22.9780371,-43.23218898370618,39.32,0.57,-33.71,0.17,-0.69,18,3,-42.6,-1.9,,,,,,,,
146,935.627,945406.3,1785688411352949,-22.9780371,-43.2321888336656,39.32,0.57,-33.71,0.17,-0.68,18,3,-32.8,-1.8,,,,,,,,
147,935.6984,945478.1,1785688411424372,-22.9780371,-43.232188761899884,39.32,0.57,-33.71,0.17,-0.67,18,3,-62.8,-22.2,,,,,,,,
148,935.8055,945579.2,1785688411531468,-22.9780371,-43.232188660791955,39.32,0.57,-33.71,0.17,-0.67,18,3,-68.7,-11.9,,,,,,,,
149,935.913,945684.9,1785688411640208,-22.9780371,-43.23218855512524,39.33,0.58,-33.71,0.17,-0.68,18,3,-47.6,-7.0,,,,,,,,
150,936.0194,945797.8,1785688411746602,-22.978037157790297,-43.2321885,39.33,0.58,-33.71,0.16,-0.69,18,3,-42.9,-1.8,,,,,,,,
151,936.0911,945869.8,1785688411818324,-22.9780372,-43.23218847024643,39.33,0.58,-33.71,0.16,-0.7,18,3,-68.0,-27.3,,,,,,,,
152,936.1981,945978.2,1785688411925346,-22.9780372,-43.23218836178655,39.33,0.58,-33.71,0.16,-0.69,18,3,-63.2,-22.2,,,,,,,,
153,936.3053,946083.0,1785688412032476,-22.9780372,-43.232188257016766,39.33,0.57,-33.71,0.16,-0.69,18,3,-58.3,-12.0,,,,,,,,
154,936.4123,946190.4,1785688412139513,-22.9780372,-43.23218814964364,39.33,0.57,-33.71,0.16,-0.69,18,3,-48.0,-7.0,,,,,,,,
155,936.5194,946298.2,1785688412246606,-22.9780372,-43.232188041829154,39.33,0.58,-33.71,0.16,-0.69,18,3,-42.5,-1.9,,,,,,,,
156,936.5909,946369.9,1785688412318172,-22.9780372,-43.232188,39.33,0.58,-33.71,0.16,-0.69,18,3,-68.2,-27.2,,,,,,,,
157,936.6979,946478.2,1785688412425156,-22.9780372,-43.23218796176901,39.33,0.58,-33.71,0.15,-0.69,18,3,-62.7,-22.1,,,,,,,,
158,936.805,946579.2,1785688412532271,-22.9780372,-43.232187860770665,39.34,0.59,-33.71,0.14,-0.69,18,3,-68.8,-12.0,,,,,,,,
159,936.9122,946684.5,1785688412640152,-22.9780372,-43.23218775547455,39.34,0.59,-33.71,0.14,-0.68,18,3,-47.7,-7.0,,,,,,,,
160,937.0192,946798.1,1785688412747206,-22.9780372,-43.2321877,39.35,0.6,-33.71,0.13,-0.68,18,3,-42.9,-1.8,,,,,,,,
161,937.0906,946868.1,1785688412818595,-22.9780372,-43.23218767189375,39.35,0.6,-33.71,0.13,-0.69,18,3,-72.9,-27.2,,,,,,,,
162,937.1977,946975.1,1785688412925669,-22.9780372,-43.2321876,39.35,0.6,-33.71,0.12,-0.69,18,3,-63.1,-22.1,,,,,,,,
163,937.3048,947083.0,1785688413032807,-22.9780372,-43.2321876,39.36,0.61,-33.71,0.12,-0.7,18,3,-58.4,-12.0,,,,,,,,
164,937.4119,947190.4,1785688413139908,-22.9780372,-43.2321876,39.36,0.61,-33.71,0.11,-0.7,18,3,-48.0,-7.0,,,,,,,,
165,937.519,947298.2,1785688413246993,-22.9780372,-43.23218754180157,39.37,0.62,-33.71,0.11,-0.7,18,3,-42.5,-1.8,,,,,,,,
166,937.5905,947369.8,1785688413318468,-22.978037170157993,-43.232187470157996,39.37,0.62,-33.71,0.11,-0.69,18,3,-68.2,-27.2,,,,,,,,
167,937.6975,947478.2,1785688413425482,-22.9780371,-43.23218736181098,39.39,0.64,-33.71,0.11,-0.69,18,3,-62.8,-22.2,,,,,,,,
168,937.8047,947579.2,1785688413532647,-22.9780371,-43.23218722165552,39.41,0.66,-33.71,0.11,-0.68,18,3,-68.9,-12.0,,,,,,,,
